Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Year
149,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,2.22,0.21,1.02,13th Oct 09
150,Call of Duty 4: Modern Warfare,PS3,Activision,Infinity Ward,9.5,6.72,3.13,2.27,0.28,1.04,05th Nov 07
151,Tomodachi Life,3DS,Nintendo,Nintendo,7.8,5.88,0.97,2.64,1.98,0.28,06th Jun 14
152,FIFA Soccer 12,PS3,EA Sports,EA Canada,9.2,6.65,0.84,4.33,0.11,1.37,27th Sep 11
153,FIFA 14,PS3,EA Sports,EA Canada,,6.61,0.79,4.77,0.07,0.98,24th Sep 13
154,Fallout 4,PC,Bethesda Softworks,Bethesda Game Studios,9.0,1.4,0.57,0.72,,0.11,10th Nov 15
155,Red Dead Redemption,PS3,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,2.58,0.17,1.0,11th Oct 11
156,Donkey Kong Country Returns,Wii,Nintendo,Retro Studios,8.6,6.5,3.19,1.81,1.03,0.47,21st Nov 10
157,The Legend of Zelda,NES,Nintendo,Nintendo EAD,9.0,6.51,3.74,0.93,1.69,0.14,22nd Aug 87
158,Assassin's Creed III,PS3,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,2.61,0.16,1.08,30th Oct 12
159,Red Dead Redemption,X360,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,2.03,0.09,0.6,18th May 10
160,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,2.68,0.25,0.99,11th Nov 11
161,Final Fantasy XII,PS2,Square Enix,Square Enix,9.4,5.95,1.88,0.0,2.33,1.74,31st Oct 06
162,Pokémon Crystal Version,GBC,Nintendo,Game Freak,8.7,6.39,2.55,1.56,1.29,0.99,29th Jul 01
163,Minecraft,PS4,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,3.13,0.35,0.96,07th Oct 14
164,Luigi's Mansion: Dark Moon,3DS,Nintendo,Next Level Games,8.6,5.44,2.03,1.88,1.17,0.36,24th Mar 13
165,FIFA 15,PS4,EA Sports,EA Canada,8.1,6.32,0.83,4.49,0.05,0.94,23rd Sep 14
166,Kingdom Hearts,PS2,Square EA,SquareSoft,8.5,6.4,3.64,1.2,1.49,0.07,16th Sep 02
167,Myst,PC,Broderbund,Cyan Worlds,8.9,2.81,0.02,2.79,,,01st Jan 95
168,Street Fighter II: The World Warrior,SNES,Capcom,Capcom,,6.3,2.47,0.83,2.87,0.12,01st Jul 92
169,Driver,PS,GT Interactive,Reflections Interactive,8.5,6.27,3.11,2.8,0.02,0.33,30th Jun 99
170,Call of Duty: WWII,XOne,Activision,Sledgehammer Games,,6.23,3.75,1.91,,0.57,03rd Nov 17
171,The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo,GREZZO,9.3,2.0,1.42,0.01,0.56,,19th Jun 11
172,Big Brain Academy,DS,Nintendo,Nintendo EAD,7.7,6.63,1.66,2.75,1.6,0.62,05th Jun 06
173,Minecraft,PS3,Sony Computer Entertainment America,Mojang,,6.05,2.21,2.86,,0.99,16th May 14
174,Metal Gear Solid,PS,Konami,Konami Computer Entertainment Japan,9.3,6.03,3.18,1.83,0.78,0.24,21st Oct 98
175,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami,Kojima Productions,9.3,6.0,2.63,1.72,0.83,0.81,12th Jun 08
176,Sonic the Hedgehog 2,GEN,Sega,Sonic Team,,6.03,4.47,1.2,0.16,0.19,20th Nov 92
177,StarCraft II: Wings of Liberty,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,4.86,2.6,1.7,,0.56,27th Jul 10
178,Tekken 5,PS2,Namco,Namco,9.0,3.87,0.93,1.94,0.31,0.7,24th Feb 05
179,Mario Kart: Super Circuit,GBA,Nintendo,Intelligent Systems,9.3,5.47,2.62,1.64,0.99,0.23,26th Aug 01
180,Super Mario Sunshine,GC,Nintendo,Nintendo EAD,9.2,6.31,4.01,1.26,0.87,0.17,25th Aug 02
181,Super Mario 3D World,WiiU,Nintendo,Nintendo EAD Tokyo,9.5,5.01,2.31,1.54,0.79,0.37,22nd Nov 13
182,New Super Mario Bros. U,WiiU,Nintendo,Nintendo EAD,8.4,5.62,2.3,1.63,1.32,0.38,18th Nov 12
183,Link's Crossbow Training,Wii,Nintendo,Nintendo EAD,6.9,4.98,3.05,1.17,0.29,0.46,19th Nov 07
184,Red Dead Redemption 2,XOne,Rockstar Games,Rockstar Games,,5.77,3.76,1.47,,0.54,26th Oct 18
185,Destiny,PS4,Activision,Bungie,,5.76,2.53,2.13,0.16,0.94,09th Sep 14
186,Tekken 2,PS,Namco,Namco,9.1,5.74,2.26,1.89,1.36,0.23,25th Aug 96
187,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,Naughty Dog,9.3,7.13,3.68,1.75,1.42,0.28,31st Oct 98
188,Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,Bluepoint Games,,5.7,2.55,2.11,0.1,0.94,07th Oct 15
