Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Date
174,"Metal Gear Solid",PS,Konami,"Konami Computer Entertainment Japan",9.3,6.030,3.180,1.830,0.780,0.240,1998-10-21
175,"Metal Gear Solid 4: Guns of the Patriots",PS3,Konami,"Kojima Productions",9.3,6.000,2.630,1.720,0.830,0.810,2008-06-12
176,"Sonic the Hedgehog 2",GEN,Sega,"Sonic Team",0.0,6.030,4.470,1.200,0.160,0.190,1992-11-20
177,"StarCraft II: Wings of Liberty",PC,"Blizzard Entertainment","Blizzard Entertainment",9.3,4.860,2.600,1.700,0.000,0.560,2010-07-27
178,"Tekken 5",PS2,Namco,Namco,9.0,3.870,0.930,1.940,0.310,0.700,2005-02-24
179,"Mario Kart: Super Circuit",GBA,Nintendo,"Intelligent Systems",9.3,5.470,2.620,1.640,0.990,0.230,2001-08-26
180,"Super Mario Sunshine",GC,Nintendo,"Nintendo EAD",9.2,6.310,4.010,1.260,0.870,0.170,2002-08-25
181,"Super Mario 3D World",WiiU,Nintendo,"Nintendo EAD Tokyo",9.5,5.010,2.310,1.540,0.790,0.370,2013-11-22
182,"New Super Mario Bros. U",WiiU,Nintendo,"Nintendo EAD",8.4,5.620,2.300,1.630,1.320,0.380,2012-11-18
183,"Link's Crossbow Training",Wii,Nintendo,"Nintendo EAD",6.9,4.980,3.050,1.170,0.290,0.460,2007-11-19
184,"Red Dead Redemption 2",XOne,"Rockstar Games","Rockstar Games",0.0,5.770,3.760,1.470,0.000,0.540,2018-10-26
185,Destiny,PS4,Activision,Bungie,0.0,5.760,2.530,2.130,0.160,0.940,2014-09-09
186,"Tekken 2",PS,Namco,Namco,9.1,5.740,2.260,1.890,1.360,0.230,1996-08-25
187,"Crash Bandicoot 3: Warped",PS,"Sony Computer Entertainment","Naughty Dog",9.3,7.130,3.680,1.750,1.420,0.280,1998-10-31
188,"Uncharted: The Nathan Drake Collection",PS4,"Sony Computer Entertainment","Bluepoint Games",0.0,5.700,2.550,2.110,0.100,0.940,2015-10-07
189,"Super Mario World: Super Mario Advance 2",GBA,Nintendo,"Nintendo EAD",9.4,5.460,3.210,1.110,0.950,0.200,2002-02-09
190,"LEGO Star Wars: The Complete Saga",Wii,LucasArts,"Traveller's Tales",8.0,5.660,3.570,1.570,0.000,0.520,2007-11-06
191,"Cooking Mama",DS,Majesco,"Office Create",6.6,5.660,3.090,1.920,0.070,0.580,2006-09-12
192,Tetris,NES,Nintendo,Nintendo,0.0,5.580,2.970,0.690,1.810,0.110,1989-11-01
193,"Super Mario Advance",GBA,Nintendo,"Nintendo EAD",8.2,5.490,3.140,1.240,0.910,0.200,2001-06-10
194,"Assassin's Creed II",PS3,Ubisoft,"Ubisoft Montreal",9.0,5.570,2.540,1.950,0.210,0.860,2009-11-17
195,"Super Smash Bros.",N64,Nintendo,"HAL Laboratory",8.4,5.550,2.950,0.600,1.970,0.040,1999-04-26
196,"Assassin's Creed",X360,Ubisoft,"Ubisoft Montreal",8.2,5.550,3.280,1.640,0.070,0.560,2007-11-13
197,"Batman: Arkham City",PS3,"Warner Bros. Interactive","Rocksteady Studios",9.6,5.540,2.720,1.890,0.110,0.820,2011-10-18
198,"Forza Motorsport 3",X360,"Microsoft Game Studios","Turn 10 Studios",9.2,5.500,2.990,1.900,0.100,0.510,2009-10-27
199,"Dragon Quest IX: Sentinels of the Starry Skies",DS,Nintendo,"Level 5",8.6,5.790,0.630,0.670,4.350,0.150,2010-07-11
200,"Final Fantasy IX",PS,Square,SquareSoft,9.2,5.300,1.620,0.770,2.780,0.140,2000-11-13
201,"Final Fantasy X-2",PS2,"Square Enix","Square Enix",8.3,5.290,1.920,1.080,2.110,0.170,2003-11-18
202,"Pokémon Stadium",N64,Nintendo,"HAL Laboratory",7.5,5.450,3.180,1.240,0.940,0.090,2000-03-06
203,Minecraft,XOne,"Microsoft Studios",Mojang,0.0,5.430,3.230,1.710,0.000,0.490,2014-11-18
204,"Call of Duty: World at War",PS3,Activision,Treyarch,8.4,5.430,2.750,1.840,0.000,0.840,2008-11-10
205,"Super Mario Advance 4: Super Mario Bros. 3",GBA,Nintendo,"Nintendo EAD",9.2,5.200,2.930,1.250,0.830,0.200,2003-10-21
206,"Crash Bandicoot: The Wrath of Cortex",PS2,"Universal Interactive","Traveller's Tales",6.9,5.420,2.070,2.290,0.240,0.820,2001-10-29
207,"Super Smash Bros. for Wii U",WiiU,Nintendo,"Bandai Namco Games",9.2,5.070,2.680,1.150,0.850,0.390,2014-11-21
208,"Final Fantasy XIII",PS3,"Square Enix","Square Enix",8.0,5.350,1.750,1.230,1.870,0.510,2010-03-09
